id,name,category,subcategory,rarity,professions,region,short_uses,file_name
50000,Hearthworn Spice 50000,Consumable,Potion,Uncommon,Tailoring,Frostbriar trails,Everyday field supply that reduces downtime.,item_50000.png
50001,Glimmering Stitch 50001,Consumable,Food,Common,None,Emberford markets,Everyday field supply that reduces downtime.,item_50001.png
50002,Warden's Tonic 50002,Profession Tool,Tailor Kit,Uncommon,Herbalism,Frostbriar trails,Starter kit enabling profession actions.,item_50002.png
50003,Warden's Lantern 50003,Toy,Wooden Doll,Uncommon,None,Frost Caverns,Harmless fun item with small social value.,item_50003.png
50004,Glimmering Ration 50004,Document,Letter,Common,Cooking,Emberford outskirts,Readable lore drop that hints at routes and secrets.,item_50004.png
50005,Frostbound Spice 50005,Consumable,Powder,Uncommon,Jewelry,Glimmerdeep shore,Everyday field supply that reduces downtime.,item_50005.png
50006,Stormkissed Pouch 50006,Toy,Whistle,Rare,Fishing,Emberford outskirts,Harmless fun item with small social value.,item_50006.png
50007,Dusk Fillet 50007,Quest,Quest Item,Uncommon,None,Bramblefold hedges,Objective item for contracts and errands.,item_50007.png
50008,Lanternlit Ink 50008,Map,Trail Map,Uncommon,Smithing,Saltmarrow strand,Simple navigation aid that points to micro-locations.,item_50008.png
50009,Lanternlit Totem 50009,Quest,Quest Item,Common,Tailoring,Bramblefold hedges,Objective item for contracts and errands.,item_50009.png
50010,Dusk Knife 50010,Material,Thread,Uncommon,Herbalism,Deepwatch,Core trade material used in many early recipes.,item_50010.png
50011,Dusk Shard 50011,Toy,Dice,Common,Enchanting,Deepwatch,Harmless fun item with small social value.,item_50011.png
50012,Market Buckle 50012,Key,Copper Key,Common,None,Glimmerdeep canals,Basic key used for side doors and caches.,item_50012.png
50013,Cinder Stitch 50013,Material,Cloth Bolt,Rare,Jewelry,Deepwatch,Core trade material used in many early recipes.,item_50013.png
50014,Hearthworn Buckle 50014,Trinket,Sigil,Uncommon,Enchanting,Saltmarrow tidepools,Minor passive charm with low-power utility.,item_50014.png
50015,Warden's Gizmo 50015,Alchemy,Catalyst,Uncommon,Herbalism,Glimmerdeep shore,Reliable reagent for low to mid-tier mixtures.,item_50015.png
50016,Oathforged Carving 50016,Trophy,Scale,Common,Leatherworking,Ashen Ridge terraces,Monster proof used for bounties and turn-ins.,item_50016.png
50017,Warden's Skein 50017,Ingredient,Mushroom,Common,Leatherworking,Bramblefold hedges,Common crafting input used across cooking and alchemy.,item_50017.png
50018,Lanternlit Knot 50018,Material,Glass,Common,Mining,Ashen Ridge terraces,Core trade material used in many early recipes.,item_50018.png
50019,Cinder Ledger Boots 50019,Gear,Leather Boots,Uncommon,Herbalism,Glimmerdeep shore,Baseline leveling piece with steady stats and simple flavor.,item_50019.png
50020,Lanternlit Balm 50020,Map,Ruin Sketch,Common,None,Deepwatch,Simple navigation aid that points to micro-locations.,item_50020.png
50021,Bramble Pike 50021,Curio,Trinket Bit,Rare,Enchanting,Glimmerdeep shore,Flavor drop that feeds quests vendors and collectors.,item_50021.png
50022,Cinder Needle 50022,Quest,Quest Item,Common,Herbalism,Emberford markets,Objective item for contracts and errands.,item_50022.png
50023,Frostbound Tonic Boots 50023,Gear,Leather Boots,Rare,Alchemy,Frostbriar trails,Baseline leveling piece with steady stats and simple flavor.,item_50023.png
50024,Hearthworn Pike 50024,Material,Ingot,Uncommon,Smithing,Ashen Ridge terraces,Core trade material used in many early recipes.,item_50024.png
50025,Warden's Compass 50025,Trinket,Stone,Common,Herbalism,Duskhollow bogs,Minor passive charm with low-power utility.,item_50025.png
50026,Mireborn Ink 50026,Tool,Chisel,Uncommon,Fishing,Bramblefold hedges,Utility item for travel salvage and exploration.,item_50026.png
50027,Ashen Cog 50027,Toy,Whistle,Common,Smithing,Glimmerdeep canals,Harmless fun item with small social value.,item_50027.png
50028,Frostbound Tonic 50028,Profession Tool,Tailor Kit,Common,Smithing,Deepwatch,Starter kit enabling profession actions.,item_50028.png
50029,Dusk Buckle 50029,Material,Ore,Uncommon,Smithing,Ashen Ridge terraces,Core trade material used in many early recipes.,item_50029.png
50030,Oathforged Tonic 50030,Trinket,Charm,Common,Engineering,Duskhollow bogs,Minor passive charm with low-power utility.,item_50030.png
50031,Warden's Hook 50031,Trinket,Sigil,Common,Smithing,Bramblefold hedges,Minor passive charm with low-power utility.,item_50031.png
50032,Saltstained Charm 50032,World Object,Cache,Common,Engineering,Emberford markets,Placeable/interactive world piece for events.,item_50032.png
50033,Bramble Stitch 50033,Trophy,Scale,Uncommon,Smithing,Frostbriar trails,Monster proof used for bounties and turn-ins.,item_50033.png
50034,Dusk Token 50034,Toy,Spin Top,Common,Alchemy,Saltmarrow tidepools,Harmless fun item with small social value.,item_50034.png
50035,Frostbound Rivet 50035,Material,Oil,Uncommon,Herbalism,Emberford outskirts,Core trade material used in many early recipes.,item_50035.png
50036,Warden's Needle Gloves 50036,Gear,Cloth Gloves,Rare,Tailoring,Frost Caverns,Baseline leveling piece with steady stats and simple flavor.,item_50036.png
50037,Market Band 50037,Trinket,Charm,Uncommon,None,Frost Caverns,Minor passive charm with low-power utility.,item_50037.png
50038,Warden's Totem 50038,Trophy,Scale,Rare,Mining,Glimmerdeep shore,Monster proof used for bounties and turn-ins.,item_50038.png
50039,Frostbound Spice 50039,Trinket,Charm,Common,Tailoring,Emberford markets,Minor passive charm with low-power utility.,item_50039.png
50040,Rivercut Charm 50040,Key,Copper Key,Common,Mining,Ashen Ridge terraces,Basic key used for side doors and caches.,item_50040.png
50041,Dusk Ration 50041,Material,Leather,Common,Smithing,Bramblefold hedges,Core trade material used in many early recipes.,item_50041.png
50042,Glimmering Talisman 50042,Consumable,Tonic,Common,None,Duskhollow bogs,Everyday field supply that reduces downtime.,item_50042.png
