profession,item_name,type,tier,source_summary
Cooking,Barley Snack Pack,Input,Newbie,Village vendors and camp cooks.
Cooking,Cinderbrew Flask,Tool,Endgame,Crafted from kiln herbs and salamander glands.
Cooking,Ancient Knot,Output,Endgame,Found in Sunspire from quests.
Cooking,Amberwild Map,Tool,Mid,Found in Shiverstone Coast from raiders.
Cooking,Bramble Oil,Tool,Endgame,Found in Glassfields from beasts.
Cooking,Bronzed Quiver,Input,Mid,Found in Deepwatch from camps.
Cooking,Bronzed Ward,Tool,Endgame,Found in Riverlight Delta from nodes.
Cooking,Drift Elixir,Tool,Endgame,Found in Whispering Steppes from nodes.
Cooking,Duskborn Gauntlet,Input,Mid,Found in Glassfields from beasts.
Cooking,Elder Vial,Tool,Mid,Found in Stoneweald from beasts.
Cooking,Feral Brew,Input,Mid,Found in Bramblefold from beasts.
Cooking,Glimmer Xylo-shard,Tool,Endgame,Found in Stoneweald from nodes.
Cooking,Glimmer Brew,Input,Mid,Found in Sunspire from camps.
Cooking,Greatwood Driftleaf,Tool,Mid,Found in Glassfields from quests.
Cooking,Hollow Feather,Tool,Endgame,Found in Bramblefold from camps.
Cooking,Ivory Knot,Tool,Mid,Found in Deepwatch from raiders.
Cooking,Ironroot Urn,Tool,Endgame,Found in Stoneweald from quests.
Cooking,Jade Urn,Tool,Endgame,Found in Riverlight Delta from camps.
Cooking,Juniper Ward,Tool,Mid,Found in Cinder Kilns from quests.
Cooking,Kestrel Blade,Output,Endgame,Found in Deepwatch from camps.
Cooking,Knotwood Cowl,Tool,Endgame,Found in Greatwood from camps.
Cooking,Knotwood Harpoon,Input,Mid,Found in Moonwake Marsh from raiders.
Cooking,Lantern Cowl,Tool,Endgame,Found in Frost Caverns from quests.
Cooking,Luminous Jerky,Tool,Endgame,Found in Shiverstone Coast from beasts.
Cooking,Lupine Lantern,Tool,Mid,Found in Moonwake Marsh from nodes.
Cooking,Mire Lantern,Tool,Mid,Found in Whispering Steppes from quests.
Cooking,Northwind Zest,Input,Endgame,Found in Sunspire from beasts.
Cooking,Oakheart Feather,Output,Mid,Found in Shiverstone Coast from quests.
Cooking,Oathbound Gland,Output,Endgame,Found in Glassfields from camps.
Cooking,Opal Ink,Tool,Mid,Found in Deepwatch from camps.
Cooking,Peridot Map,Input,Mid,Found in Whispering Steppes from nodes.
Cooking,Quill Knot,Tool,Endgame,Found in Moonwake Marsh from nodes.
Cooking,Quartz Saddle,Tool,Endgame,Found in Sunspire from camps.
Cooking,Thornlit Jerky,Tool,Mid,Found in Ashen Plains from beasts.
Cooking,Tideborn Lantern,Tool,Endgame,Found in Sunspire from nodes.
Cooking,Umbral Lantern,Tool,Endgame,Found in Emberford from beasts.
Cooking,Umbral Xylo-shard,Input,Endgame,Found in Feral Fens from camps.
Cooking,Wraith Chisel,Tool,Endgame,Found in Ashen Plains from nodes.
Cooking,Whisper Driftleaf,Output,Mid,Found in Moonwake Marsh from camps.
Cooking,Yellowroot Quiver,Tool,Endgame,Found in Greatwood from quests.
Cooking,Yewbarrow Saddle,Tool,Mid,Found in Stoneweald from raiders.
Cooking,Zale Yarn,Output,Endgame,Found in Frost Caverns from nodes.
Cooking,Zephyr Cowl,Input,Endgame,Found in Bramblefold from raiders.
Fishing,Amberwild Map,Tool,Mid,Found in Shiverstone Coast from raiders.
Fishing,Bramble Urn,Input,Mid,Found in Stoneweald from nodes.
Fishing,Bronzed Ward,Tool,Endgame,Found in Riverlight Delta from nodes.
Fishing,Cinder Ward,Tool,Endgame,Found in Moonwake Marsh from raiders.
Fishing,Crystal Gauntlet,Input,Mid,Found in Deepwatch from camps.
Fishing,Duskborn Gauntlet,Input,Mid,Found in Glassfields from beasts.
Fishing,Drift Jerky,Input,Mid,Found in Stoneweald from raiders.
Fishing,Ember Harpoon,Input,Endgame,Found in Feral Fens from camps.
Fishing,Elder Jerky,Input,Mid,Found in Glassfields from raiders.
Fishing,Ever Ration,Output,Mid,Found in Feral Fens from camps.
Fishing,Ember Talisman,Output,Endgame,Found in Stoneweald from nodes.
Fishing,Feral Xylo-shard,Tool,Endgame,Found in Greatwood from nodes.
Fishing,Glimmer Xylo-shard,Tool,Endgame,Found in Stoneweald from nodes.
Fishing,Gravetide Gland,Output,Mid,Found in Bramblefold from beasts.
Fishing,Hazel Driftleaf,Tool,Mid,Found in Deepwatch from quests.
Fishing,Hearth Map,Tool,Endgame,Found in Whispering Steppes from nodes.
Fishing,Idle Saddle,Input,Mid,Found in Ashen Plains from raiders.
Fishing,Ivory Ward,Tool,Mid,Found in Moonwake Marsh from camps.
Fishing,Juniper Quiver,Input,Endgame,Found in Moonwake Marsh from camps.
Fishing,Kindled Yarn,Tool,Endgame,Found in Emberford from beasts.
Fishing,Kindled Charm,Tool,Mid,Found in Ashen Plains from camps.
Fishing,Luminous Elixir,Input,Mid,Found in Stoneweald from beasts.
Fishing,Lupine Gauntlet,Input,Endgame,Found in Glassfields from raiders.
Fishing,Luminous Jerky,Tool,Endgame,Found in Shiverstone Coast from beasts.
Fishing,Moonset Jerky,Tool,Endgame,Found in Deepwatch from camps.
Fishing,Mire Lantern,Tool,Mid,Found in Whispering Steppes from quests.
Fishing,Moonset Parchment,Output,Mid,Found in Bramblefold from nodes.
Fishing,Mire Ration,Output,Endgame,Found in Riverlight Delta from quests.
Fishing,Mosslit Talisman,Tool,Mid,Found in Emberford from raiders.
Fishing,Nightvine Xylo-shard,Input,Mid,Found in Sunspire from raiders.
Fishing,Nettle Arrow,Input,Mid,Found in Stoneweald from camps.
Fishing,Northwind Chisel,Tool,Mid,Found in Glassfields from quests.
Fishing,Opal Ink,Tool,Mid,Found in Deepwatch from camps.
Fishing,Pyre Feather,Output,Mid,Found in Riverlight Delta from beasts.
Fishing,Pinecrest Ink,Tool,Mid,Found in Emberford from raiders.
Fishing,Pyre Knot,Tool,Endgame,Found in Moonwake Marsh from quests.
Fishing,Peridot Map,Input,Mid,Found in Whispering Steppes from nodes.
Fishing,Quartz Map,Input,Mid,Found in Stoneweald from nodes.
Fishing,Quickmire Oil,Input,Endgame,Found in Sunspire from raiders.
Fishing,Quartz Yarn,Output,Mid,Found in Bramblefold from quests.
Fishing,Runed Apple,Output,Endgame,Found in Feral Fens from quests.
Fishing,Rosewood Blade,Tool,Mid,Found in Deepwatch from beasts.
Fishing,Ravenholt Charm,Tool,Endgame,Found in Bramblefold from nodes.
Fishing,Stormweld Blade,Tool,Mid,Found in Frost Caverns from quests.
Fishing,Sable Cowl,Input,Mid,Found in Riverlight Delta from camps.
Fishing,Thornlit Elixir,Input,Endgame,Found in Riverlight Delta from beasts.
Fishing,Thornlit Parchment,Output,Endgame,Found in Moonwake Marsh from beasts.
Fishing,Tideborn Ration,Tool,Mid,Found in Moonwake Marsh from quests.
Fishing,Underbough Needle,Output,Mid,Found in Greatwood from beasts.
Fishing,Underbough Talisman,Tool,Endgame,Found in Moonwake Marsh from camps.
Fishing,Umber Vial,Input,Mid,Found in Whispering Steppes from nodes.
Fishing,Verdant Talisman,Tool,Endgame,Found in Whispering Steppes from beasts.
Fishing,Vigil Vial,Input,Mid,Found in Moonwake Marsh from camps.
Fishing,Verdant Zest,Input,Mid,Found in Shiverstone Coast from camps.
Fishing,Wildgrove Brew,Tool,Mid,Found in Feral Fens from beasts.
Fishing,Xyra Feather,Output,Endgame,Found in Whispering Steppes from camps.
Fishing,Xenith Map,Input,Endgame,Found in Sunspire from camps.
Fishing,Yarrow Apple,Tool,Mid,Found in Glassfields from quests.
