id,name,category,subcategory,rarity,professions,region,short_uses,file_name
50250,2026-01-04_SIGMA Whisperline Sap Flake,Ingredient,Sap,Common,Herbalism,Greatwood,Bramble-Echo Thicket drop; traded by Sapbroker Neral.,2026-01-04_sigma_whisperline_sap_flake.png
50251,2026-01-04_SIGMA Whisperline Resin Thread,Ingredient,Resin,Uncommon,Alchemy,Greatwood,Mirebreath Run gather; refined at Hearthpost kettles.,2026-01-04_sigma_whisperline_resin_thread.png
50252,2026-01-04_SIGMA Whisperline Bark Curl,Ingredient,Bark,Rare,Tailoring,Greatwood,Root-Song Shrine chant-lock component; ward favor with Istra.,2026-01-04_sigma_whisperline_bark_curl.png
50253,2026-01-04_SIGMA Whisperline Spore Husk,Ingredient,Spore,Common,Carving,Greatwood,Stonebridge cache reward; peddler Yim buys bundles.,2026-01-04_sigma_whisperline_spore_husk.png
50254,2026-01-04_SIGMA Whisperline Lichen Weave,Ingredient,Fiber,Uncommon,Herbalism,Greatwood,Bramble-Echo Thicket drop; traded by Sapbroker Neral.,2026-01-04_sigma_whisperline_lichen_weave.png
50255,2026-01-04_SIGMA Whisperline Amber Pellet,Ingredient,Pellet,Rare,Alchemy,Greatwood,Mirebreath Run gather; refined at Hearthpost kettles.,2026-01-04_sigma_whisperline_amber_pellet.png
50256,2026-01-04_SIGMA Rootbound Sap Flake,Ingredient,Sap,Common,Tailoring,Greatwood,Root-Song Shrine chant-lock component; ward favor with Istra.,2026-01-04_sigma_rootbound_sap_flake.png
50257,2026-01-04_SIGMA Rootbound Resin Thread,Ingredient,Resin,Uncommon,Carving,Greatwood,Stonebridge cache reward; peddler Yim buys bundles.,2026-01-04_sigma_rootbound_resin_thread.png
50258,2026-01-04_SIGMA Rootbound Bark Curl,Ingredient,Bark,Rare,Herbalism,Greatwood,Bramble-Echo Thicket drop; traded by Sapbroker Neral.,2026-01-04_sigma_rootbound_bark_curl.png
50259,2026-01-04_SIGMA Rootbound Spore Husk,Ingredient,Spore,Common,Alchemy,Greatwood,Mirebreath Run gather; refined at Hearthpost kettles.,2026-01-04_sigma_rootbound_spore_husk.png
50260,2026-01-04_SIGMA Rootbound Lichen Weave,Ingredient,Fiber,Uncommon,Tailoring,Greatwood,Root-Song Shrine chant-lock component; ward favor with Istra.,2026-01-04_sigma_rootbound_lichen_weave.png
50261,2026-01-04_SIGMA Rootbound Amber Pellet,Ingredient,Pellet,Rare,Carving,Greatwood,Stonebridge cache reward; peddler Yim buys bundles.,2026-01-04_sigma_rootbound_amber_pellet.png
50262,2026-01-04_SIGMA Sapsinger Sap Flake,Ingredient,Sap,Common,Herbalism,Greatwood,Bramble-Echo Thicket drop; traded by Sapbroker Neral.,2026-01-04_sigma_sapsinger_sap_flake.png
50263,2026-01-04_SIGMA Sapsinger Resin Thread,Ingredient,Resin,Uncommon,Alchemy,Greatwood,Mirebreath Run gather; refined at Hearthpost kettles.,2026-01-04_sigma_sapsinger_resin_thread.png
50264,2026-01-04_SIGMA Sapsinger Bark Curl,Ingredient,Bark,Rare,Tailoring,Greatwood,Root-Song Shrine chant-lock component; ward favor with Istra.,2026-01-04_sigma_sapsinger_bark_curl.png
50265,2026-01-04_SIGMA Sapsinger Spore Husk,Ingredient,Spore,Common,Carving,Greatwood,Stonebridge cache reward; peddler Yim buys bundles.,2026-01-04_sigma_sapsinger_spore_husk.png
50266,2026-01-04_SIGMA Sapsinger Lichen Weave,Ingredient,Fiber,Uncommon,Herbalism,Greatwood,Bramble-Echo Thicket drop; traded by Sapbroker Neral.,2026-01-04_sigma_sapsinger_lichen_weave.png
50267,2026-01-04_SIGMA Sapsinger Amber Pellet,Ingredient,Pellet,Rare,Alchemy,Greatwood,Mirebreath Run gather; refined at Hearthpost kettles.,2026-01-04_sigma_sapsinger_amber_pellet.png
50268,2026-01-04_SIGMA Barkglass Sap Flake,Ingredient,Sap,Common,Tailoring,Greatwood,Root-Song Shrine chant-lock component; ward favor with Istra.,2026-01-04_sigma_barkglass_sap_flake.png
50269,2026-01-04_SIGMA Barkglass Resin Thread,Ingredient,Resin,Uncommon,Carving,Greatwood,Stonebridge cache reward; peddler Yim buys bundles.,2026-01-04_sigma_barkglass_resin_thread.png
50270,2026-01-04_SIGMA Barkglass Bark Curl,Ingredient,Bark,Rare,Herbalism,Greatwood,Bramble-Echo Thicket drop; traded by Sapbroker Neral.,2026-01-04_sigma_barkglass_bark_curl.png
